Series ID,Year,Period,Label,Value
LASST170000000000003,2019,M01,2019 Jan,4.4
LASST170000000000003,2019,M02,2019 Feb,4.3
LASST170000000000003,2019,M03,2019 Mar,4.3
LASST170000000000003,2019,M04,2019 Apr,4.2
LASST170000000000003,2019,M05,2019 May,4.1
LASST170000000000003,2019,M06,2019 Jun,4
LASST170000000000003,2019,M07,2019 Jul,3.9
LASST170000000000003,2019,M08,2019 Aug,3.8
LASST170000000000003,2019,M09,2019 Sep,3.7
LASST170000000000003,2019,M10,2019 Oct,3.7
LASST170000000000003,2019,M11,2019 Nov,3.7
LASST170000000000003,2019,M12,2019 Dec,3.7
LASST170000000000003,2020,M01,2020 Jan,3.5
LASST170000000000003,2020,M02,2020 Feb,3.4
LASST170000000000003,2020,M03,2020 Mar,4.2
LASST170000000000003,2020,M04,2020 Apr,17.2
LASST170000000000003,2020,M05,2020 May,15.3
LASST170000000000003,2020,M06,2020 Jun,14.5
LASST170000000000003,2020,M07,2020 Jul,11.5
LASST170000000000003,2020,M08,2020 Aug,11
